UK Minimum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1950    1.5    0.9    2.8    2.5    5.7    9.7   10.5   10.2    8.3    5.6    1.9   -1.7    1.49   3.68  10.14   5.27    4.85
1951    0.4   -0.1    0.1    1.6    4.6    7.6   10.4    9.8    9.2    5.7    4.6    1.9   -0.45   2.12   9.30   6.46    4.68
1952   -1.1   -0.3    2.5    3.9    7.2    8.3   10.8   10.6    6.2    4.8    0.8    0.0    0.17   4.55   9.91   3.96    4.50
1953    0.8    1.0    0.6    1.9    6.8    8.9   10.3   10.4    9.1    5.8    4.9    3.7    0.57   3.13   9.90   6.61    5.39
1954    0.2   -0.9    1.5    2.2    6.1    8.5    9.4    9.7    7.5    7.3    2.8    3.1    1.03   3.24   9.21   5.91    4.82
1955   -0.7   -2.6   -1.1    3.9    4.3    8.2   10.7   11.6    9.0    4.5    3.8    1.6    0.03   2.36  10.19   5.73    4.47
1956   -0.1   -3.3    1.6    1.3    5.8    7.7   10.5    8.5    9.6    5.4    2.9    2.9   -0.50   2.93   8.91   5.96    4.44
1957    1.6    0.8    4.7    3.5    4.7    8.0   11.2   10.4    7.9    6.3    3.3    1.0    1.79   4.30   9.87   5.85    5.31
1958   -0.4    0.4   -0.5    2.4    5.2    8.3   10.5   10.7   10.2    6.8    3.1    1.1    0.32   2.38   9.86   6.69    4.84
1959   -2.1    0.7    2.9    4.2    6.3    8.9   10.8   11.2    8.3    7.4    3.3    2.1   -0.15   4.45  10.32   6.34    5.35
1960    0.4   -0.5    2.5    3.9    6.8    9.6    9.9    9.7    8.1    6.5    3.1    0.3    0.70   4.40   9.71   5.92    5.04
1961    0.0    3.0    3.4    4.8    5.4    8.4    9.7   10.0    9.6    6.4    2.4   -1.3    1.07   4.54   9.36   6.13    5.16
1962    0.6    0.8   -1.7    2.5    5.1    7.6    9.4    9.4    8.0    6.2    2.0   -0.9    0.01   1.95   8.80   5.42    4.10
1963   -4.4   -4.0    1.6    3.6    5.1    9.2    9.4    9.5    8.0    6.5    3.9   -0.2   -3.07   3.42   9.35   6.14    4.05
1964    0.6    1.0    1.1    4.1    7.3    8.5   10.4    9.7    8.2    4.3    3.5   -0.3    0.48   4.16   9.53   5.33    4.88
1965   -0.2    0.0    0.3    2.8    6.2    8.7    8.8    9.4    7.8    6.4    0.8    0.5   -0.16   3.11   8.98   5.01    4.33
1966    0.0    1.7    2.3    2.7    5.3    9.8    9.6    9.2    9.1    5.7    1.7    1.4    0.69   3.42   9.54   5.51    4.88
1967    1.3    1.8    2.7    3.1    5.1    8.1   10.7   10.2    8.9    6.3    1.8    1.0    1.45   3.66   9.67   5.67    5.10
1968    0.8   -1.7    1.8    2.6    4.4    8.8    9.7   10.1    9.1    8.4    3.2    0.3    0.08   2.94   9.54   6.93    4.82
1969    1.9   -2.5   -0.4    2.0    5.9    7.9   10.8   11.2    9.0    8.4    1.0    0.2   -0.01   2.53   9.96   6.13    4.66
1970    0.4   -1.2   -0.4    1.9    7.0    9.7    9.8   10.5    9.2    6.2    3.5    1.2   -0.18   2.85  10.00   6.31    4.85
1971    1.4    1.1    1.2    2.9    5.6    7.4   10.5   10.5    8.6    6.6    2.1    3.7    1.24   3.25   9.49   5.79    5.17
1972    0.9    0.9    1.6    3.8    5.7    6.7    9.8    9.4    6.6    6.0    2.2    2.1    1.85   3.68   8.66   4.94    4.66
1973    1.6    0.3    1.3    2.1    5.9    8.8   10.3   10.6    9.0    4.7    1.9    1.0    1.36   3.12   9.90   5.21    4.83
1974    2.3    1.8    1.3    2.5    5.5    8.0    9.8    9.6    7.2    4.0    2.8    4.1    1.71   3.11   9.15   4.69    4.94
1975    2.5    0.9    0.8    3.5    4.4    7.8   11.2   11.9    7.9    5.9    2.3    2.1    2.57   2.89  10.33   5.35    5.12
1976    2.1    1.3    0.8    3.1    6.3   10.0   11.4   10.1    8.6    6.5    2.3   -1.1    1.82   3.43  10.51   5.81    5.13
1977   -0.6    1.0    2.8    2.5    4.7    7.1   10.3    9.8    8.3    7.6    2.3    2.8   -0.29   3.33   9.11   6.07    4.91
1978   -0.3   -1.4    2.2    2.1    5.8    8.3    9.6   10.2    9.2    7.6    4.3    1.1    0.45   3.36   9.34   7.03    4.91
1979   -3.6   -1.9    0.4    2.9    4.4    8.6   10.3    9.5    8.0    7.0    2.4    2.0   -1.46   2.57   9.45   5.81    4.20
1980   -0.9    1.8    0.7    3.4    5.0    8.7    9.5   10.7    9.9    4.6    3.1    1.9    0.98   3.02   9.66   5.83    4.87
1981    0.9   -0.3    3.4    2.7    6.3    8.4   10.3   10.5    9.2    3.6    3.6   -3.0    0.89   4.16   9.73   5.42    4.66
1982   -0.8    1.4    1.4    3.3    5.2    9.7   10.7   10.6    8.6    6.2    4.0    0.5   -0.88   3.30  10.32   6.25    5.07
