UK Raindays>=1.0mm
Areal series, starting from 1961
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1993   20.4    6.3    9.0   14.0   12.2   10.5   14.9   10.3   12.5   11.7    9.7   21.8    38.9   35.1   35.6   33.9   153.1
1994   20.1   12.5   19.4   14.7    8.9   10.7    9.0   11.4   14.3   13.4   14.4   18.7    54.4   43.0   31.1   42.0   167.5
1995   19.9   18.7   16.2    7.8   10.9    6.5    9.1    4.7   15.3   12.8   12.7   11.0    57.3   34.9   20.3   40.8   145.6
1996   11.4   14.1    8.4   11.4   11.2    7.7    9.6   11.1    6.6   17.9   17.6    9.7    36.5   30.9   28.4   42.1   136.6
1997    6.0   17.9   10.7    6.5   12.4   15.0   11.1   11.4    8.8   10.0   17.1   16.2    33.7   29.6   37.5   35.9   143.2
1998   15.7    9.9   13.6   18.5    7.7   16.7   13.9   10.8   12.5   19.4   16.1   18.0    41.8   39.8   41.4   48.0   172.9
1999   19.5   13.7   13.9   13.5   11.5   13.2    7.5   12.2   15.8   12.7   12.9   21.3    51.2   39.0   32.8   41.4   167.7
2000   12.2   18.7   10.0   16.6   12.3   10.0    8.9   12.9   15.6   20.6   20.7   17.1    52.2   38.9   31.8   56.9   175.7
2001   11.8   13.3   14.0   15.5    7.4    9.4   11.2   14.1   13.4   18.8   14.4   11.2    42.2   37.0   34.7   46.7   154.6
2002   16.3   19.5   11.9   10.4   15.6   14.0   13.8    9.9    5.5   16.3   20.1   15.0    47.0   37.9   37.7   41.9   168.3
2003   15.6    7.9    7.9    8.4   16.4   11.2   12.2    5.0    9.1   10.6   15.6   14.3    38.5   32.6   28.4   35.3   134.2
2004   19.8   10.5   12.4   14.7    8.7   12.4   12.0   16.1   13.2   18.6   13.2   13.6    44.7   35.8   40.4   45.0   165.1
2005   15.1   11.9   11.5   13.5   12.5   10.4    8.7   11.8   12.6   15.1   13.8   11.7    40.6   37.5   31.0   41.6   148.7
2006    9.0   10.3   16.1   12.1   16.2    6.6    8.0   14.0   12.7   17.1   17.1   16.2    30.9   44.4   28.6   46.9   155.3
2007   18.7   16.2   11.7    4.2   15.2   14.5   17.2   11.1    9.9    8.2   14.2   13.7    51.1   31.1   42.8   32.4   154.7
2008   20.5    9.9   18.1   14.9    7.1   11.5   13.2   17.6   12.8   16.4   15.4   11.3    44.0   40.2   42.3   44.6   168.7
2009   15.0   10.4   12.1   10.4   13.4    8.7   18.5   14.8    7.5   14.1   22.1   16.9    36.7   35.9   42.0   43.7   163.9
2010   13.6   13.8   11.8    8.5    8.7    6.6   13.8   13.8   13.7   13.2   16.3    9.5    44.3   29.0   34.3   43.2   143.4
2011   13.3   16.0    7.8    5.5   14.1   13.3   10.4   14.1   14.6   15.8   12.2   20.8    38.8   27.3   37.8   42.5   157.7
2012   14.6    9.1    6.5   18.2   10.0   16.4   16.4   15.3   13.5   16.3   16.3   19.8    44.5   34.6   48.2   46.0   172.3
2013   15.7    8.8   10.5   10.4   13.1    9.2    8.3   11.0   11.0   19.1   14.0   18.9    44.3   34.1   28.5   44.2   150.2
2014   23.4   20.1   12.5   11.2   15.2    9.4   10.1   16.6    4.9   17.9   16.2   15.7    62.5   38.8   36.2   39.0   173.2
2015   18.8   11.3   13.0    8.9   15.4    9.2   15.9   14.2    8.5   10.3   20.8   22.3    45.8   37.3   39.3   39.5   168.4
2016   20.6   13.9   12.0   15.1    9.3   14.1   12.8   11.4   13.5    8.4   12.9   11.3    56.8   36.4   38.3   34.9   155.4
2017   12.2   13.9   14.5    7.5    9.9   12.9   14.8   14.5   17.9   13.7   15.3   16.4    37.4   31.9   42.2   46.8   163.4
