UK Sunshine (Total hours)
Areal series, starting from 1929
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Values are ranked and displayed to 1 dp. Where values are equal, rankings are based in order of year descending.
All 2017 data are provisional.  Last updated 02/01/2018.

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1969   29.9   64.1   80.0  175.0  133.2  228.9  186.2  145.3   97.8   88.4   62.3   28.4   123.9  388.2  560.4  248.4  1319.5
1970   28.4   93.3  110.7  132.3  163.7  229.7  136.0  154.3  115.0   84.0   50.4   40.9   150.0  406.7  520.0  249.5  1338.7
1971   32.3   60.3   86.7  121.6  209.1  141.6  210.0  128.4  150.4  113.3   66.3   26.8   133.5  417.4  479.9  330.0  1346.7
1972   35.4   44.0  120.7  133.5  143.6  147.3  168.6  161.0  120.5   91.2   59.7   35.1   106.1  397.8  477.0  271.3  1260.7
1973   30.7   73.8  124.8  145.8  155.8  190.4  145.8  164.0  126.3   88.3   67.5   41.1   139.7  426.5  500.2  282.0  1354.3
1974   40.0   55.3   98.7  166.4  179.6  189.0  149.9  163.5  121.1   78.9   50.1   36.6   136.4  444.8  502.3  250.0  1329.0
1975   34.1   70.2   96.8  122.3  205.5  245.2  179.6  195.9  125.1   95.2   63.0   35.2   140.9  424.6  620.7  283.4  1468.2
1976   40.9   47.8   98.8  143.1  150.5  205.5  222.7  240.4   94.5   64.8   60.3   45.1   124.0  392.4  668.7  219.6  1414.5
1977   43.9   61.3   80.9  148.9  216.0  165.1  184.0  157.5  103.0   88.6   69.0   33.6   150.4  445.8  506.6  260.7  1351.9
1978   45.5   56.7  103.4  111.3  192.1  159.2  134.9  122.4  119.3   80.3   58.0   28.1   135.7  406.8  416.4  257.5  1211.0
1979   50.0   64.8   89.5  119.1  168.8  161.6  149.3  144.0  141.3   88.5   55.5   41.6   142.9  377.4  454.8  285.2  1273.9
1980   48.4   43.1   80.7  161.5  222.0  140.7  129.7  125.5  111.5   93.2   50.6   39.0   133.1  464.3  395.8  255.4  1246.0
1981   40.0   66.2   72.7  148.5  143.7  142.7  135.7  166.9  130.7  100.9   45.3   36.3   145.2  364.9  445.3  276.9  1229.5
1982   44.0   53.5  131.6  159.5  205.2  148.6  170.6  144.1  121.0   64.2   48.9   35.1   133.8  496.2  463.3  234.2  1326.2
1983   38.6   69.6   71.6  133.5  115.4  158.1  209.6  189.4   95.3   91.6   40.9   38.5   143.2  320.6  557.1  227.8  1252.1
1984   51.7   53.3   60.4  200.3  180.9  180.2  212.0  179.5   97.1   86.8   42.8   42.1   143.4  441.7  571.7  226.7  1387.1
1985   45.4   75.9  102.5  121.2  159.1  162.4  155.8  138.6  109.0   94.2   65.2   30.7   163.4  382.8  456.8  268.4  1260.0
1986   45.4   73.4  112.1  125.8  169.4  192.1  144.8  129.1  149.4  100.5   61.9   39.9   149.5  407.3  465.9  311.8  1343.7
1987   44.0   62.0   97.3  137.6  180.9  115.8  145.5  140.6  141.6   94.4   45.7   28.6   145.9  415.8  401.9  281.7  1233.9
